Total Per Part Category,,Quantity Needed,Total Cost Pre-Tax,Component,Supplier,Link
$9.95,Other Parts,1,$9.95,"Polycarbonate Sheet 12x18 1/16""",Amazon,https://www.amazon.com/Polycarbonate-Plastic-Robotics-Industrial-Shatterproof/dp/B07MQTDF4R/ref=sr_1_3?crid=1VPXR0WQ0ZWRU&dib=eyJ2IjoiMSJ9.Zl4S-wq0BGtUikNdntedzk-AIEpIjlRB7COK-V-TW3h62J2G2N4Dh7AyejOp9ADRmehd0DsmtbouZcYMYOXiLZzI_74lRNwjQhVaU4wrGRGhmob6rlRi-ff0iQEFEtVbwB764kSU1iHDvHQkb8TNywiQIA7b8vbIcM-lIpyZUVyQ_zO3qwRlZ6kD0f6JeSG1HSmY166XXusaPlVStx8P9OcOEc3f5xNPF4IHIpb22tY.r6Y0yAmZjf2ZGaLS6gcUG6tazeoYcSotkmheFwc1P6A&dib_tag=se&keywords=18x12+acrylic&qid=1749511718&sprefix=18x12+acrylic%2Caps%2C231&sr=8-3
,,,,,,
N/A,Case,1,N/A,Left Case Base - 3D Printed,Hack Club,https://github.com/CircuitCyborg/CircuitCyboard/blob/main/Case/Left/CircuitCyboard_Left_Case_Base.step
,,1,N/A,Right Case Base - 3D Printed,Hack Club,https://github.com/CircuitCyborg/CircuitCyboard/tree/main/Case/Right/CircuitCyboard_Right_Case_Base.step
,,1,N/A,Left Case Top - Polycarbonate,CircuitCyborg,https://github.com/CircuitCyborg/CircuitCyboard/blob/main/Case/Left/Left_Plate_Acrylic.dxf
,,1,N/A,Right Case Top - Polycarbonate,CircuitCyborg,https://github.com/CircuitCyborg/CircuitCyboard/blob/main/Case/Right/Right_Plate_Acrylic.dxf
,,,,,,
,,,,,,
Price By Supplier - Includes Shipping and Tax to My Location,,,,,,
Amazon,LCSC,PCBWay,,,,
$91.34,$20.96,$181.08,,,,
,,,,,,
,,,,,,
Amount Paid By Hack Club:,$312.99,,,,,
Amount Paid By CircuitCyborg,$7.59,,,,,
