Total Per Part Category,,Quantity Needed,Total Cost Pre-Tax,Component,Supplier,Link
$76.15,PCB,1,$36.65,Left PCB,JLCPCB,N/A
,,1,$39.50,Right PCB,JLCPCB,N/A
,,,,,,
$45.96,Switches - $0.50/Switch,2,$22.98,Gateron G Blue Pro 3.0 Switches,Aliexpress,https://www.aliexpress.us/item/3256804371339613.html?
,,,,,,
$12.77,Fasteners - Total $15,1,$5.48,GSJ Threaded Heat Set Inserts,Aliexpress,https://www.aliexpress.us/item/3256804189121253.html?
,,1,$7.29,M3 Button Head Socket Cap Bolts,Aliexpress,https://www.aliexpress.us/item/3256806973435795.html?
,,,,,,
$11.69,Keycaps - $25,1,$7.80,Keycaps 126 Keys Cherry Profile,Aliexpress,https://www.aliexpress.us/item/3256807135386098.html?
,,1,$3.89,24 Pc DSA Profile 1u keycaps,Aliexpress,https://www.aliexpress.us/item/3256807298018561.html?
,,,,,,
$23.77,Stabilizers - $20,1,$23.77,Durock Stabilizers V3 80% Kit,Aliexpress,https://www.aliexpress.us/item/3256802006071565.html?
,,,,,,
$11.81 Including Shipping,Misc Electronics - $15,1,$3.17,Alpsalpine EC11E Rotary Encoder,Aliexpress,https://www.aliexpress.us/item/3256805796819763.html?
,,2,$8.64,LGE 1N4148 Diodes,Aliexpress,https://www.aliexpress.us/item/3256802153601411.html?
,,,,,,
N/A,MCU,2,N/A,Orpheus Picos,Hack Club,N/A
,,,,,,
$9.95,Other Parts,1,$9.95,"Polycarbonate Sheet 12x18 1/16""",Amazon,https://www.amazon.com/Polycarbonate-Plastic-Robotics-Industrial-Shatterproof/dp/B07MQTDF4R/ref=sr_1_3?
,,,,,,
N/A,Case,1,N/A,Left Case Base - 3D Printed,CircuitCyborg,https://github.com/CircuitCyborg/CircuitCyboard/blob/main/Case/Left/CircuitCyboard_Left_Case_Base.step
,,1,N/A,Right Case Base - 3D Printed,CircuitCyborg,https://github.com/CircuitCyborg/CircuitCyboard/tree/main/Case/Right/CircuitCyboard_Right_Case_Base.step
,,1,N/A,Left Case Top - Polycarbonate,CircuitCyborg,https://github.com/CircuitCyborg/CircuitCyboard/blob/main/Case/Left/Left_Plate_Acrylic.dxf
,,1,N/A,Right Case Top - Polycarbonate,CircuitCyborg,https://github.com/CircuitCyborg/CircuitCyboard/blob/main/Case/Right/Right_Plate_Acrylic.dxf
,,,,,,
,,,,,,
,,,,,,
Price By Supplier - Includes Shipping to My Location,,,,,,
Aliexpress,PCBWay,Amazon,,,,
$106.00,$76.15,$9.95,,,,
,,,,,,
,,,,,,
Amount Paid By Hack Club:,$129.18,,,,,

Amount Paid By CircuitCyborg,Any extra shipping/fees,,,,,


